StreetName,Postcode,BagStreet,CollectionDay,CollectionTimeStart,CollectionTimeEnd,PresentationDayStart,PresentationTimeStart,PresentationDayEnd,PresentationTimeEnd,KeywasteCollectionDay,KeywasteCollectionTimeStart,KeywasteCollectionTimeEnd,KeyWastePresentationDayStart,KeyWastePresentationTimeStart,KeywastePresentationDayEnd,KeywastePresentationTimeEnd,,,,,,,,,,
Alexandra Terrace,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Arbutus Place,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Arnott Street,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Avenue Road,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Blackpitts,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Bloomfield Avenue,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Bloomfield Cottages,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Bloomfield Park,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Camden Buildings,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,Friday,17:30,19:00,Friday,17:50,Friday,19:00,,,,,,,,,,
Camden Court,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,Friday,17:30,19:00,Friday,17:50,Friday,19:00,,,,,,,,,,
Camden Place,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,4:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",4:00,Friday,17:30,19:00,Friday,17:50,Friday,19:00,,,,,,,,,,
Camden Row,2,,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,,,,,,,,,,,,,,,,,
Camden Street Upper,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,4:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",4:00,,,,,,,,,,,,,,,,,
Carlisle Street,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Charlemont Mall,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,Friday,17:30,19:00,Friday,17:50,Friday,19:00,,,,,,,,,,
